input,output,type,IE
Investigators are busy picking through all the remains that washed ashore after the crash.,investigators are busy picking through all the flotsam and jetsam that washed ashore after the crash.,idiom,flotsam and jetsam
"We need to move all the debris out of these drawers. I mean, cough drops and batteries probably shouldn't be stored together anyway.","we need to move all the flotsam and jetsam out of these drawers. i mean, cough drops and batteries probably shouldn't be stored together anyway.",idiom,flotsam and jetsam
"We need to move all the wreckage out of these drawers. I mean, cough drops and batteries probably shouldn't be stored together anyway.","we need to move all the flotsam and jetsam out of these drawers. i mean, cough drops and batteries probably shouldn't be stored together anyway.",idiom,flotsam and jetsam
"We need to move all the remains out of these drawers. I mean, cough drops and batteries probably shouldn't be stored together anyway.","we need to move all the flotsam and jetsam out of these drawers. i mean, cough drops and batteries probably shouldn't be stored together anyway.",idiom,flotsam and jetsam
Imagine all that I could remember if garbage like the lyrics to every Disney song weren't taking up space in my head!,imagine all that i could remember if flotsam and jetsam like the lyrics to every disney song weren't taking up space in my head!,idiom,flotsam and jetsam
Imagine all that I could remember if useless objects like the lyrics to every Disney song weren't taking up space in my head!,imagine all that i could remember if flotsam and jetsam like the lyrics to every disney song weren't taking up space in my head!,idiom,flotsam and jetsam
ll sorts of debris washed up on the beach.,all sorts of flotsam and jetsam washed up on the beach.,idiom,flotsam and jetsam
All sorts of wreckage washed up on the beach.,all sorts of flotsam and jetsam washed up on the beach.,idiom,flotsam and jetsam
All sorts of remains washed up on the beach.,all sorts of flotsam and jetsam washed up on the beach.,idiom,flotsam and jetsam
His mind is burdened with the debris of many years of poor instruction and lax study habits.,his mind is burdened with the flotsam and jetsam of many years of poor instruction and lax study habits.,idiom,flotsam and jetsam
His mind is burdened with the wreckage of many years of poor instruction and lax study habits.,his mind is burdened with the flotsam and jetsam of many years of poor instruction and lax study habits.,idiom,flotsam and jetsam
His mind is burdened with the remains of many years of poor instruction and lax study habits.,his mind is burdened with the flotsam and jetsam of many years of poor instruction and lax study habits.,idiom,flotsam and jetsam
His mind is burdened with the garbage of many years of poor instruction and lax study habits.,his mind is burdened with the flotsam and jetsam of many years of poor instruction and lax study habits.,idiom,flotsam and jetsam
Your report would be better if you could get rid of a lot of the garbage and clean up the grammar a bit.,your report would be better if you could get rid of a lot of the flotsam and jetsam and clean up the grammar a bit.,idiom,flotsam and jetsam
Your report would be better if you could get rid of a lot of the unnecessary things and clean up the grammar a bit.,your report would be better if you could get rid of a lot of the flotsam and jetsam and clean up the grammar a bit.,idiom,flotsam and jetsam
"We found cornflakes packets, bottles, and all the garbage of the kitchen.","we found cornflake packets, bottles, and all the flotsam and jetsam of the kitchen.",idiom,flotsam and jetsam
"We found cornflakes packets, bottles, and all the remains of the kitchen.","we found cornflake packets, bottles, and all the flotsam and jetsam of the kitchen.",idiom,flotsam and jetsam
Don't let my mother watch any of those sappy movies—she cries too easily.,don't let my mother watch any of those sappy movies—she cries at the drop of a hat.,idiom,at the drop of a hat
Don't let my mother watch any of those sappy movies—she cries very easily.,don't let my mother watch any of those sappy movies—she cries at the drop of a hat.,idiom,at the drop of a hat
"I don't have any vacation time yet at my new job, so I can't just travel without hesitation.","i don't have any vacation time yet at my new job, so i can't just travel at the drop of a hat.",idiom,at the drop of a hat
"I don't have any vacation time yet at my new job, so I can't just travel without good reason.","i don't have any vacation time yet at my new job, so i can't just travel at the drop of a hat.",idiom,at the drop of a hat
"I can always depend on my dad. Any time I need help, he's there without hesitation.","i can always depend on my dad. any time i need help, he's there at the drop of a hat.",idiom,at the drop of a hat
"I can always depend on my dad. Any time I need help, he's there immediately.","i can always depend on my dad. any time i need help, he's there at the drop of a hat.",idiom,at the drop of a hat
"If you need help, just call on me. I can come immediately.","if you need help, just call on me. i can come at the drop of a hat.",idiom,at the drop of a hat
More people should sort out their own minor problems and stop calling the police without hesitation.,more people should sort out their own minor problems and stop calling the police at the drop of a hat.,idiom,at the drop of a hat
More people should sort out their own minor problems and stop calling the police immediately.,more people should sort out their own minor problems and stop calling the police at the drop of a hat.,idiom,at the drop of a hat
"There is a myth that we are an uncaring generation, shoving our old folk into institutions without hesitation.","there is a myth that we are an uncaring generation, shoving our old folk into institutions at the drop of a hat.",idiom,at the drop of a hat
"There is a myth that we are an uncaring generation, shoving our old folk into institutions immediately.","there is a myth that we are an uncaring generation, shoving our old folk into institutions at the drop of a hat.",idiom,at the drop of a hat
"Don't worry, the vacuum won't wake him—he's oblivious.","don't worry, the vacuum won't wake him—he's dead to the world.",idiom,dead to the world
"Don't worry, the vacuum won't wake him—he's unaware.","don't worry, the vacuum won't wake him—he's dead to the world.",idiom,dead to the world
"Don't worry, the vacuum won't wake him—he's unmindful.","don't worry, the vacuum won't wake him—he's dead to the world.",idiom,dead to the world
Do you remember last night at the bar at all? You were unconscious!,do you remember last night at the bar at all? you were dead to the world!,idiom,dead to the world
"After all that exercise, he's unconscious.","after all that exercise, he's dead to the world.",idiom,dead to the world
"After all that exercise, he's sleeping very deeply.","after all that exercise, he's dead to the world.",idiom,dead to the world
"After all that exercise, he's sleeping deeply.","after all that exercise, he's dead to the world.",idiom,dead to the world
"After all that exercise, he's slumbering.","after all that exercise, he's dead to the world.",idiom,dead to the world
By midnight almost everybody at the party was unconscious.,by midnight almost everybody at the party was dead to the world.,idiom,dead to the world
By midnight almost everybody at the party was sleeping deeply.,by midnight almost everybody at the party was dead to the world.,idiom,dead to the world
"Julie's ex-husband was such a mean bastard, it's no wonder she divorced him.","julie's ex husband was such a mean son of a gun, it's no wonder she divorced him.",idiom,son of a gun
"Julie's ex-husband was such a mean scoundrel, it's no wonder she divorced him.","julie's ex husband was such a mean son of a gun, it's no wonder she divorced him.",idiom,son of a gun
"My car broke down, and I can't figure out how to fix the bastard!","my car broke down, and i can't figure out how to fix the son of a gun!",idiom,son of a gun
"My car broke down, and I can't figure out how to fix the scoundrel!","my car broke down, and i can't figure out how to fix the son of a gun!",idiom,son of a gun
" If that bastard thinks he can boss me around like that, he’s got another think coming. "," if that son of a gun thinks he can boss me around like that, he’s got another think coming. ",idiom,son of a gun
" If that scoundrel thinks he can boss me around like that, he’s got another think coming. "," if that son of a gun thinks he can boss me around like that, he’s got another think coming. ",idiom,son of a gun
That tightfisted bastard won't buy me a beer. He can be a real son of a bachelor when he's in a bad mood.,that tightfisted son of a gun won't buy me a beer. he can be a real son of a bachelor when he's in a bad mood.,idiom,son of a gun
That tightfisted scoundrel won't buy me a beer. He can be a real son of a bachelor when he's in a bad mood.,that tightfisted son of a gun won't buy me a beer. he can be a real son of a bachelor when he's in a bad mood.,idiom,son of a gun
Some senior employees are unhappy that the new dress code applies to everyone universally.,some senior employees are unhappy that the new dress code applies to everyone across the board.,idiom,across the board
The politician is expected to call for tax increases universally.,the politician is expected to call for tax increases across the board.,idiom,across the board
The school board raised the pay of all the teachers universally.,the school board raised the pay of all the teachers across the board.,idiom,across the board
It seems that universally all shops have cut back on staff.,it seems that across the board all shops have cut back on staff.,idiom,across the board
It seems that everywhere all shops have cut back on staff.,it seems that across the board all shops have cut back on staff.,idiom,across the board
"This proposal will reduce funding universally for community development grants, student loans and summer schools.","this proposal will reduce funding across the board for community development grants, student loans and summer schools.",idiom,across the board
"This proposal will reduce funding everywhere for community development grants, student loans and summer schools.","this proposal will reduce funding across the board for community development grants, student loans and summer schools.",idiom,across the board
There is a universal increase in the amount of meat eaten by children.,there is an across the board increase in the amount of meat eaten by children.,idiom,across the board
"When they hosted the Olympics, the city was criticized for rounding up the homeless and keeping them all in bad conditions.","when they hosted the olympics, the city was criticized for rounding up the homeless and keeping them all contained on skid row.",idiom,skid row
"When they hosted the Olympics, the city was criticized for rounding up the homeless and keeping them all in the ghetto.","when they hosted the olympics, the city was criticized for rounding up the homeless and keeping them all contained on skid row.",idiom,skid row
"When they hosted the Olympics, the city was criticized for rounding up the homeless and keeping them all poor.","when they hosted the olympics, the city was criticized for rounding up the homeless and keeping them all contained on skid row.",idiom,skid row
"It's amazing that, after nearly five years poor, he's now one of the biggest names in show business.","it's amazing that, after nearly five years on skid row, he's now one of the biggest names in show business.",idiom,skid row
" Just because they’re poor, it doesn’t mean they’re beyond help."," just because they’re on skid row, it doesn’t mean they’re beyond help.",idiom,skid row
Police officers are often Caught in the middle when apprehending criminals.,police officers are often caught in the crossfire when apprehending criminals.,idiom,caught in the crossfire
Police officers are often caught between two sides when apprehending criminals.,police officers are often caught in the crossfire when apprehending criminals.,idiom,caught in the crossfire
Police officers are often caught in the line of fire when apprehending criminals.,police officers are often caught in the crossfire when apprehending criminals.,idiom,caught in the crossfire
"I was Caught in the middle of their argument over the budget, but I refused to take sides and told them to work it out on their own.","i was caught in the crossfire of their argument over the budget, but i refused to take sides and told them to work it out on their own.",idiom,caught in the crossfire
"I was caught between two sides of their argument over the budget, but I refused to take sides and told them to work it out on their own.","i was caught in the crossfire of their argument over the budget, but i refused to take sides and told them to work it out on their own.",idiom,caught in the crossfire
I was caught in the line of fire and dove into a ditch to keep from getting killed.,i was caught in the crossfire and dove into a ditch to keep from getting killed.,idiom,caught in the crossfire
This company needs an infusion of newcomers before it becomes completely irrelevant in today's world.,this company needs an infusion of young blood before it becomes completely irrelevant in today's world.,idiom,young blood
This company needs an infusion of novices before it becomes completely irrelevant in today's world.,this company needs an infusion of young blood before it becomes completely irrelevant in today's world.,idiom,young blood
"I'm sorry, but I'm not going to take orders from some newcomer who's only been with the company five minutes.","i'm sorry, but i'm not going to take orders from some young blood who's only been with the company five minutes.",idiom,young blood
"I'm sorry, but I'm not going to take orders from some novice who's only been with the company five minutes.","i'm sorry, but i'm not going to take orders from some young blood who's only been with the company five minutes.",idiom,young blood
 We keep newcomers so busy they never have a chance to look out the window. , we keep young bloods so busy they never have a chance to look out the window. ,idiom,young blood
 We keep novices so busy they never have a chance to look out the window. , we keep young bloods so busy they never have a chance to look out the window. ,idiom,young blood
The family business was badly in need of new staff.,the family business was badly in need of young blood.,idiom,young blood
The family business was badly in need of new people.,the family business was badly in need of young blood.,idiom,young blood
"The selectors have gone for some newcomer, fielding a side whose average age is just 26.","the selectors have gone for some young blood, fielding a side whose average age is just 26.",idiom,young blood
"The selectors have gone for some novice, fielding a side whose average age is just 26.","the selectors have gone for some young blood, fielding a side whose average age is just 26.",idiom,young blood
Floyd proved he can still compete with the newcomers by becoming the oldest winner of the US open at 43.,floyd proved he can still compete with the young bloods by becoming the oldest winner of the us open at 43.,idiom,young blood
Floyd proved he can still compete with the novices by becoming the oldest winner of the US open at 43.,floyd proved he can still compete with the young bloods by becoming the oldest winner of the us open at 43.,idiom,young blood
"Now that uncle bill is deceased, we can read his will.","now that uncle bill is dead and buried, we can read his will.",idiom,dead and buried
"Now that uncle bill is dead, we can read his will.","now that uncle bill is dead and buried, we can read his will.",idiom,dead and buried
That kind of old-fashioned thinking is expired.,that kind of old fashioned thinking is dead and buried.,idiom,dead and buried
That kind of old-fashioned thinking is old.,that kind of old fashioned thinking is dead and buried.,idiom,dead and buried
That kind of old-fashioned thinking is outdated.,that kind of old fashioned thinking is dead and buried.,idiom,dead and buried
"Their father is deceased, but they still complain about him daily.","their father is dead and buried, but they still complain about him daily.",idiom,dead and buried
"Their father is dead, but they still complain about him daily.","their father is dead and buried, but they still complain about him daily.",idiom,dead and buried
State of the art of infrared astronomy,the holy grail of infrared astronomy,idiom,the holy grail
Cutting edge of infrared astronomy,the holy grail of infrared astronomy,idiom,the holy grail
"Hearing the news of my father's sudden death, I went shocked and could barely remain standing.","hearing the news of my father's sudden death, i went weak at the knees and could barely remain standing.",idiom,weak at the knees
"Hearing the news of my father's sudden death, I went dizzy and could barely remain standing.","hearing the news of my father's sudden death, i went weak at the knees and could barely remain standing.",idiom,weak at the knees
"Hearing the news of my father's sudden death, I went light-headed and could barely remain standing.","hearing the news of my father's sudden death, i went weak at the knees and could barely remain standing.",idiom,weak at the knees
"Hearing the news of my father's sudden death, I went faint and could barely remain standing.","hearing the news of my father's sudden death, i went weak at the knees and could barely remain standing.",idiom,weak at the knees
"Hearing the news of my father's sudden death, I went feeble and could barely remain standing.","hearing the news of my father's sudden death, i went weak at the knees and could barely remain standing.",idiom,weak at the knees
"Hearing the news of my father's sudden death, I went wobbly and could barely remain standing.","hearing the news of my father's sudden death, i went weak at the knees and could barely remain standing.",idiom,weak at the knees
"Hearing the news of my father's sudden death, I went trembling and could barely remain standing.","hearing the news of my father's sudden death, i went weak at the knees and could barely remain standing.",idiom,weak at the knees
"In the days following beckons victory, the British establishment has gone out of its way to try and dismiss the result as a one-hit wonder.","in the days following beckon's victory, the british establishment has gone out of its way to try and dismiss the result as a flash in the pan.",idiom,a flash in the pan
"In the days following beckons victory, the British establishment has gone out of its way to try and dismiss the result as a brief success.","in the days following beckon's victory, the british establishment has gone out of its way to try and dismiss the result as a flash in the pan.",idiom,a flash in the pan
"In the days following beckons victory, the British establishment has gone out of its way to try and dismiss the result as lucky.","in the days following beckon's victory, the british establishment has gone out of its way to try and dismiss the result as a flash in the pan.",idiom,a flash in the pan
"Hopefully now I'll be taken seriously, I'm not a one-hit wonder.","hopefully now i'll be taken seriously, i'm not a flash in the pan.",idiom,a flash in the pan
"Hopefully now I'll be taken seriously, I'm not just lucky.","hopefully now i'll be taken seriously, i'm not a flash in the pan.",idiom,a flash in the pan
To ride for one's country is the ultimate experience. To be in a winning team is the bonus.,to ride for one's country is the ultimate experience. to be in a winning team is the icing on the cake.,idiom,icing on the cake
To ride for one's country is the ultimate experience. To be in a winning team is the extra.,to ride for one's country is the ultimate experience. to be in a winning team is the icing on the cake.,idiom,icing on the cake
To ride for one's country is the ultimate experience. To be in a winning team is the plus.,to ride for one's country is the ultimate experience. to be in a winning team is the icing on the cake.,idiom,icing on the cake
Having all of you here for my birthday has really been wonderful. This gift is bonus.,having all of you here for my birthday has really been wonderful. this gift is icing on the cake.,idiom,icing on the cake
Having all of you here for my birthday has really been wonderful. This gift is extras.,having all of you here for my birthday has really been wonderful. this gift is icing on the cake.,idiom,icing on the cake
Having all of you here for my birthday has really been wonderful. This gift is a plus.,having all of you here for my birthday has really been wonderful. this gift is icing on the cake.,idiom,icing on the cake
"Sarah really wanted that job, so she said the signing bonus was really just a bonus.","sarah really wanted that job, so she said the signing bonus was really just icing on the cake.",idiom,icing on the cake
"Sarah really wanted that job, so she said the signing bonus was really just an extra.","sarah really wanted that job, so she said the signing bonus was really just icing on the cake.",idiom,icing on the cake
"Sarah really wanted that job, so she said the signing bonus was really just a plus.","sarah really wanted that job, so she said the signing bonus was really just icing on the cake.",idiom,icing on the cake
"I don't need a high end TV, but I don't want the cheapest one either. I'm looking for a Moderate option.","i don't need a high end tv, but i don't want the cheapest one either. i'm looking for a middle of the road option.",idiom,middle of the road
"I don't need a high end TV, but I don't want the cheapest one either. I'm looking for a mediocre option.","i don't need a high end tv, but i don't want the cheapest one either. i'm looking for a middle of the road option.",idiom,middle of the road
"I don't need a high end TV, but I don't want the cheapest one either. I'm looking for an average option.","i don't need a high end tv, but i don't want the cheapest one either. i'm looking for a middle of the road option.",idiom,middle of the road
"I don't need a high end TV, but I don't want the cheapest one either. I'm looking for an unadventurous option.","i don't need a high end tv, but i don't want the cheapest one either. i'm looking for a middle of the road option.",idiom,middle of the road
Most of the voters found the candidate's mediocre platform to be reasonable and palatable.,most of the voters found the candidate's middle of the road platform to be reasonable and palatable.,idiom,middle of the road
Most of the voters found the candidate's average platform to be reasonable and palatable.,most of the voters found the candidate's middle of the road platform to be reasonable and palatable.,idiom,middle of the road
Most of the voters found the candidate's unadventurous platform to be reasonable and palatable.,most of the voters found the candidate's middle of the road platform to be reasonable and palatable.,idiom,middle of the road
"These are, for the most part, normal people who want the usual things out of life.","these are, for the most part, middle of the road people who want the usual things out of life.",idiom,middle of the road
"These are, for the most part, average people who want the usual things out of life.","these are, for the most part, middle of the road people who want the usual things out of life.",idiom,middle of the road
"These are, for the most part, mediocre people who want the usual things out of life.","these are, for the most part, middle of the road people who want the usual things out of life.",idiom,middle of the road
"They play very bland, mediocre music.","they play very bland, middle of the road music.",idiom,middle of the road
"They play very bland, average music.","they play very bland, middle of the road music.",idiom,middle of the road
"They play very bland, unadventurous music.","they play very bland, middle of the road music.",idiom,middle of the road
The new company I work for is at the forefront of medical science. I think some of their new instruments are going to revolutionize the field of medicine.,the new company i work for is at the cutting edge of medical science. i think some of their new instruments are going to revolutionize the field of medicine.,idiom,cutting edge
The new company I work for is at the revolutionary front of medical science. I think some of their new instruments are going to revolutionize the field of medicine.,the new company i work for is at the cutting edge of medical science. i think some of their new instruments are going to revolutionize the field of medicine.,idiom,cutting edge
The new company I work for is at the state of the art of medical science. I think some of their new instruments are going to revolutionize the field of medicine.,the new company i work for is at the cutting edge of medical science. i think some of their new instruments are going to revolutionize the field of medicine.,idiom,cutting edge
"With their innovative instruments, I really think this company is going to revolutionize the field of medicine.","with their cutting edge instruments, i really think this company is going to revolutionize the field of medicine.",idiom,cutting edge
"With their revolutionary instruments, I really think this company is going to revolutionize the field of medicine.","with their cutting edge instruments, i really think this company is going to revolutionize the field of medicine.",idiom,cutting edge
"With their state-of-the-art instruments, I really think this company is going to revolutionize the field of medicine.","with their cutting edge instruments, i really think this company is going to revolutionize the field of medicine.",idiom,cutting edge
"You may not be the fastest, but you have a unique quality—your stamina.","you may not be the fastest, but you have a cutting edge—your stamina.",idiom,cutting edge
"You may not be the fastest, but you have a special quality—your stamina.","you may not be the fastest, but you have a cutting edge—your stamina.",idiom,cutting edge
Fred's invention put him on the top of the computer chip business.,fred's invention put him on the cutting edge of the computer chip business.,idiom,cutting edge
Fred's invention put him on the forefront of the art of the computer chip business.,fred's invention put him on the cutting edge of the computer chip business.,idiom,cutting edge
Criticism that came unexpectedly.,criticism that came out of the blue.,idiom,out of the blue
Criticism that came unanticipatedly.,criticism that came out of the blue.,idiom,out of the blue
Criticism that came suddenly.,criticism that came out of the blue.,idiom,out of the blue
Criticism that came from nowhere.,criticism that came out of the blue.,idiom,out of the blue
A long unseen friend who appeared unexpectedly.,a long unseen friend who appeared out of the blue.,idiom,out of the blue
A long unseen friend who appeared unanticipatedly.,a long unseen friend who appeared out of the blue.,idiom,out of the blue
A long unseen friend who appeared suddenly.,a long unseen friend who appeared out of the blue.,idiom,out of the blue
A long unseen friend who appeared from nowhere.,a long unseen friend who appeared out of the blue.,idiom,out of the blue
She seemed so surprised by the news that it must have come unexpectedly.,she seemed so surprised by the news that it must have come out of the blue.,idiom,out of the blue
She seemed so surprised by the news that it must have come unanticipated.,she seemed so surprised by the news that it must have come out of the blue.,idiom,out of the blue
She seemed so surprised by the news that it must have come suddenly.,she seemed so surprised by the news that it must have come out of the blue.,idiom,out of the blue
She seemed so surprised by the news that it must have come from nowhere.,she seemed so surprised by the news that it must have come out of the blue.,idiom,out of the blue
"Then, unexpectedly, a solicitor's letter arrived.","then, out of the blue, a solicitor's letter arrived.",idiom,out of the blue
"Then, unanticipatedly, a solicitor's letter arrived.","then, out of the blue, a solicitor's letter arrived.",idiom,out of the blue
"Then, suddenly, a solicitor's letter arrived.","then, out of the blue, a solicitor's letter arrived.",idiom,out of the blue
"Then, from nowhere, a solicitor's letter arrived.","then, out of the blue, a solicitor's letter arrived.",idiom,out of the blue
Can the disease really strike unexpectedly?,can the disease really strike out of the blue?,idiom,out of the blue
Can the disease really strike unanticipatedly?,can the disease really strike out of the blue?,idiom,out of the blue
Can the disease really strike suddenly?,can the disease really strike out of the blue?,idiom,out of the blue
Can the disease really strike from nowhere?,can the disease really strike out of the blue?,idiom,out of the blue
Stop filing and get one of the interns to do that tedious work.,stop filing and get one of the interns to do that dirty work.,idiom,dirty work
Stop filing and get one of the interns to do that unpleasant work.,stop filing and get one of the interns to do that dirty work.,idiom,dirty work
I'm not surprised that Phil was caught embezzling money from the company—he always seemed to be involved in dishonest work.,i'm not surprised that phil was caught embezzling money from the company—he always seemed to be involved in dirty work.,idiom,dirty work
The boss will just get one of his thugs to do his unpleasant work.,the boss will just get one of his thugs to do his dirty work.,idiom,dirty work
The boss will just get one of his thugs to do his dishonest work.,the boss will just get one of his thugs to do his dirty work.,idiom,dirty work
My boss does all the traveling. I get all the tedious work to do.,my boss does all the traveling. i get all the dirty work to do.,idiom,dirty work
My boss does all the traveling. I get all the unpleasant work to do.,my boss does all the traveling. i get all the dirty work to do.,idiom,dirty work
She's tired of doing all the tedious work at the office.,she's tired of doing all the dirty work at the office.,idiom,dirty work
She knew there was some dishonest work going on when she saw her opponents whispering together.,she knew there was some dirty work going on when she saw her opponents whispering together.,idiom,dirty work
"The company seems respectable enough, but there's a lot of dishonest work that goes on.","the company seems respectable enough, but there's a lot of dirty work that goes on.",idiom,dirty work
The company's environment felt like a grind—employees were constantly sabotaging each other to climb the corporate ladder.,the company's environment felt like a rat race—employees were constantly sabotaging each other to climb the corporate ladder.,idiom,rat race
Cathy was tired of the grind and knew she needed to get a less stressful job.,cathy was tired of the rat race and knew she needed to get a less stressful job.,idiom,rat race
Cathy was tired of the competition and knew she needed to get a less stressful job.,cathy was tired of the rat race and knew she needed to get a less stressful job.,idiom,rat race
"The money market is a grind, and many people who work in it get out quickly because of the stress.","the money market is a rat race, and many people who work in it get out quickly because of the stress.",idiom,rat race
"The money market is a harsh competition, and many people who work in it get out quickly because of the stress.","the money market is a rat race, and many people who work in it get out quickly because of the stress.",idiom,rat race
I had to get out of the grind for a while and think about what was important in life.,i had to get out of the rat race for a while and think about what was important in life.,idiom,rat race
I am exhausted of this grind—day after day. , i am really tired of this rat race—day after day. ,idiom,rat race
I am exhausted of this competitive routine—day after day. , i am really tired of this rat race—day after day. ,idiom,rat race
"She dropped out of the harsh competition and moved to Vermont, where she opened a barber shop."," she dropped out of the rat race and moved to vermont, where she opened a barber shop.",idiom,rat race
Being the first in her family to graduate college was substantial to Katie.,being the first in her family to graduate college was a big deal to katie.,idiom,big deal
Being the first in her family to graduate college was very important to Katie.,being the first in her family to graduate college was a big deal to katie.,idiom,big deal
"I'm kind of an important figure here, but I'll just be the new kid when I switch schools.","i'm kind of a big deal here, but i'll just be the new kid when i switch schools.",idiom,big deal
"I'm kind of an extraordinary here, but I'll just be the new kid when I switch schools.","i'm kind of a big deal here, but i'll just be the new kid when i switch schools.",idiom,big deal
 Don’t make such a fuss out of it! , don’t make such a big deal out of it! ,idiom,big deal
 Don’t make such a hassle out of it! , don’t make such a big deal out of it! ,idiom,big deal
"I was a little nervous about bringing my uncultured cousins to the black tie event in Manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.","i was a little nervous about bringing my wild and woolly cousins to the black tie event in manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.",idiom,wild and woolly
"I was a little nervous about bringing my unmannerly cousins to the black tie event in Manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.","i was a little nervous about bringing my wild and woolly cousins to the black tie event in manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.",idiom,wild and woolly
"I was a little nervous about bringing my undisciplined cousins to the black tie event in Manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.","i was a little nervous about bringing my wild and woolly cousins to the black tie event in manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.",idiom,wild and woolly
"I was a little nervous about bringing my rude cousins to the black tie event in Manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.","i was a little nervous about bringing my wild and woolly cousins to the black tie event in manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.",idiom,wild and woolly
"I was a little nervous about bringing my obnoxious cousins to the black tie event in Manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.","i was a little nervous about bringing my wild and woolly cousins to the black tie event in manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.",idiom,wild and woolly
"I was a little nervous about bringing my annoying cousins to the black tie event in Manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.","i was a little nervous about bringing my wild and woolly cousins to the black tie event in manhattan, thinking their country ways might not mesh well with my metropolitan colleagues.",idiom,wild and woolly
We all looked a bit uncultured after coming back from our three-week camping expedition.,we all looked a bit wild and woolly after coming back from our three week camping expedition.,idiom,wild and woolly
We all looked a bit dirty after coming back from our three-week camping expedition.,we all looked a bit wild and woolly after coming back from our three week camping expedition.,idiom,wild and woolly
We all looked a bit messy after coming back from our three-week camping expedition.,we all looked a bit wild and woolly after coming back from our three week camping expedition.,idiom,wild and woolly
"If we invade that country, it will be a hostile act.","if we invade that country, it will be an act of war.",idiom,an act of war
"If we invade that country, it will be a violent act.","if we invade that country, it will be an act of war.",idiom,an act of war
"If we invade that country, it will be an act of aggression.","if we invade that country, it will be an act of war.",idiom,an act of war
"If we invade that country, it will be an act of hostility.","if we invade that country, it will be an act of war.",idiom,an act of war
"You played my video games when I wasn't home? Oh, that's a hostile act, little brother!","you played my video games when i wasn't home? oh, that's an act of war, little brother!",idiom,an act of war
"You played my video games when I wasn't home? Oh, that's a violent act, little brother!","you played my video games when i wasn't home? oh, that's an act of war, little brother!",idiom,an act of war
"You played my video games when I wasn't home? Oh, that's an act of aggression, little brother!","you played my video games when i wasn't home? oh, that's an act of war, little brother!",idiom,an act of war
"You played my video games when I wasn't home? Oh, that's an act of hostility, little brother!","you played my video games when i wasn't home? oh, that's an act of war, little brother!",idiom,an act of war
To bomb a ship is a hostile act.,to bomb a ship is an act of war.,idiom,an act of war
To bomb a ship is a violent act.,to bomb a ship is an act of war.,idiom,an act of war
To bomb a ship is an act of aggression.,to bomb a ship is an act of war.,idiom,an act of war
To bomb a ship is an act of hostility.,to bomb a ship is an act of war.,idiom,an act of war
"Because I get paid out of sight, no taxes come out of my paycheck.","because i get paid under the table, no taxes come out of my paycheck.",idiom,under the table
"Because I get paid secretly, no taxes come out of my paycheck.","because i get paid under the table, no taxes come out of my paycheck.",idiom,under the table
"Because I get paid hidden, no taxes come out of my paycheck.","because i get paid under the table, no taxes come out of my paycheck.",idiom,under the table
"Because I get paid covertly, no taxes come out of my paycheck.","because i get paid under the table, no taxes come out of my paycheck.",idiom,under the table
"Because I get paid behind the scenes, no taxes come out of my paycheck.","because i get paid under the table, no taxes come out of my paycheck.",idiom,under the table
Jed was out of sight by midnight.,jed was under the table by midnight.,idiom,under the table
Jed was gone by midnight.,jed was under the table by midnight.,idiom,under the table
"By 3:00 in the morning, everyone was out of sight.","by 3:00 in the morning, everyone was under the table.",idiom,under the table
"By 3:00 in the morning, everyone was gone.","by 3:00 in the morning, everyone was under the table.",idiom,under the table
It was strictly a secret deal.,it was strictly an under the table deal.,idiom,under the table
It was strictly a hidden deal.,it was strictly an under the table deal.,idiom,under the table
It was strictly a covert deal.,it was strictly an under the table deal.,idiom,under the table
It was strictly a behind the scenes deal.,it was strictly an under the table deal.,idiom,under the table
"Athletes sometimes lied, or took money out of sight.","athletes sometimes lied, or took money under the table.",idiom,under the table
"Athletes sometimes lied, or took money secretly.","athletes sometimes lied, or took money under the table.",idiom,under the table
"Athletes sometimes lied, or took money covertly.","athletes sometimes lied, or took money under the table.",idiom,under the table
"Athletes sometimes lied, or took money behind the scenes.","athletes sometimes lied, or took money under the table.",idiom,under the table
He was accused of making secret payments.,he was accused of making under the table payments.,idiom,under the table
He was accused of making hidden payments.,he was accused of making under the table payments.,idiom,under the table
He was accused of making covert payments.,he was accused of making under the table payments.,idiom,under the table
He was accused of making behind the scene payments.,he was accused of making under the table payments.,idiom,under the table
"But if you or anyone else touches me, beys, you're doomed. Stay out of my life.","but if you or anyone else touches me, bas, you're dead meat. stay out of my life.",idiom,dead meat
"But if you or anyone else touches me, beys, you're in big trouble. Stay out of my life.","but if you or anyone else touches me, bas, you're dead meat. stay out of my life.",idiom,dead meat
"But if you or anyone else touches me, beys, you're in danger. Stay out of my life.","but if you or anyone else touches me, bas, you're dead meat. stay out of my life.",idiom,dead meat
